Barrio,Título,Precio (US$),Link
Palermo Soho,"Departamento En Venta - 1 Dormitorio 1 Baño - 38,86mts2 - Palermo Soho",64500.0,https://departamento.mercadolibre.com.ar/MLA-1981051780-departamento-en-venta-1-dormitorio-1-bano-3886mts2-palermo-soho-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab
Palermo Soho,Departamento En Venta - 1 Dormitorio 1 Baño - 42mts2 - Palermo,118400.0,https://departamento.mercadolibre.com.ar/MLA-1971203806-departamento-en-venta-1-dormitorio-1-bano-42mts2-palermo-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=352e773f-3863-459d-982e-d18ee702e0ab
Palermo Soho,Venta Dpto 2 Amb Con Balcon Y Terraza Palermo Soho,64500.0,https://departamento.mercadolibre.com.ar/MLA-1976270858-venta-dpto-2-amb-con-balcon-y-terraza-palermo-soho-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=ef07910a-6c02-4807-b0c2-c463fd711cfc
Palermo Viejo,Departamento En Venta - 1 Dormitorio 1 Baño - 35mts2 - Palermo,82500.0,https://departamento.mercadolibre.com.ar/MLA-1997665790-departamento-en-venta-1-dormitorio-1-bano-35mts2-palermo-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=77b99dca-2dd6-4684-b45a-6cba663b6478
Palermo Viejo,"Mono Ambiente  En Venta En Palermo Viejo, Capital Federal, Buenos Aires",118800.0,https://departamento.mercadolibre.com.ar/MLA-1955542920-mono-ambiente-en-venta-en-palermo-viejo-capital-federal-buenos-aires-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=206f4c2a-a58d-4c16-8965-e213c02f3350
Villa Urquiza,Venta Departamento 3 Ambientes Villa Urquiza,120000.0,https://departamento.mercadolibre.com.ar/MLA-1880599652-venta-departamento-3-ambientes-villa-urquiza-_JM#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=ef07910a-6c02-4807-b0c2-c463fd711cfc
Villa Urquiza,Departamento Venta 2 Ambientes Villa Urquiza,120000.0,https://departamento.mercadolibre.com.ar/MLA-1985175604-departamento-venta-2-ambientes-villa-urquiza-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=ef07910a-6c02-4807-b0c2-c463fd711cfc
Villa Urquiza,Venta Departamento 2 Ambientes En Villa Urquiza Con Amenities,120000.0,https://departamento.mercadolibre.com.ar/MLA-1462871227-venta-departamento-2-ambientes-en-villa-urquiza-con-amenities-_JM#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=e8c88ea6-86c4-4ce8-8f2b-59ccd3042ae1
Villa Urquiza,Departamento En Venta - 1 Dormitorio 1 Baño - 50 Mts2 - Villa Urquiza,120000.0,https://departamento.mercadolibre.com.ar/MLA-1989988600-departamento-en-venta-1-dormitorio-1-bano-50-mts2-villa-urquiza-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=43621e94-1edc-406e-9f90-518a6b8529b3
Villa Urquiza,Espectacular Duplex 2 Amb Tipo Loft Al Fte.,120000.0,https://departamento.mercadolibre.com.ar/MLA-1929854036-espectacular-duplex-2-amb-tipo-loft-al-fte-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=43621e94-1edc-406e-9f90-518a6b8529b3
Villa Urquiza,Venta - Departamento 2 Amb  En Villa Urquiza  -apto Credito -amenities - Cochera,120000.0,https://departamento.mercadolibre.com.ar/MLA-1957676176-venta-departamento-2-amb-en-villa-urquiza-apto-credito-amenities-cochera-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=e206af31-4ad4-456b-b180-d8d763c751b0
Villa Urquiza,Departamento En Quesada 4100,120000.0,https://departamento.mercadolibre.com.ar/MLA-1896503872-departamento-en-quesada-4100-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=a1d0f00b-6c3d-4ad5-b173-f13d794d62b4
Villa Urquiza,Venta Departamento 2 Ambientes Villa Urquiza,60000.0,https://departamento.mercadolibre.com.ar/MLA-1469327365-venta-departamento-2-ambientes-villa-urquiza-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=c63a52af-1b47-4e56-960f-dcccf5cc1836
Villa Urquiza,Venta Departamento 2 Ambientes  Villa Urquiza,60000.0,https://departamento.mercadolibre.com.ar/MLA-1976413616-venta-departamento-2-ambientes-villa-urquiza-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=01528a30-0afa-47a9-8951-c68443088af2
Villa Urquiza,Ph 3 Amb. - Villa Urquiza,120000.0,https://departamento.mercadolibre.com.ar/MLA-1448863653-ph-3-amb-villa-urquiza-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=abee8f5e-a941-42f3-86bc-ea3c47883600
Villa Urquiza,Venta Departamento Dos Ambientes Con Balcon Y Cochera Doble En Villa Urquiza,120000.0,https://departamento.mercadolibre.com.ar/MLA-1444506217-venta-departamento-dos-ambientes-con-balcon-y-cochera-doble-en-villa-urquiza-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=e206af31-4ad4-456b-b180-d8d763c751b0
